noun,correct_lemma
inspektors,2129
Varšava,2129
sieds,2123
dzelss,2121
Vidceme,2116
palike,2116
pavasara,2115
smars,2114
leitis,2114
piere,2113
dzeršana,2112
ģīmis,2111
izrīkojums,2105
liecinieks,2103
laiva,2095
telegrama,2092
ministerija,2086
ticibs,2084
prāva,2081
ņo,2078
augs,2078
šķūnis,2069
mantiba,2069
apcietinats,2069
fronte,2068
gudriba,2067
kapteinis,2065
tēms,2065
ogle,2065
musika,2065
karogs,2064
brandmīna,2058
ūdeņs,2058
puika,2054
pļama,2053
lūss,2052
šinis,2049
stāvs,2048
mare,2045
Juns,2044
paliga,2041
prese,2039
priekšnieciba,2033
priesteris,2033
tumsiba,2032
iemītnieks,2031
audzinašana,2029
trauks,2024
minņs,2019
konserence,2013
nasta,2012
kapsēta,2011
karstums,2011
ārceme,2008
kalniņš,2006
izglītibas,2003
brūte,1995
mēris,1992
brīšs,1992
kultūra,1990
stops,1982
meša,1978
bagats,1976
skolnieks,1976
mīkla,1975
spārns,1970
smērs,1969
sādziba,1968
skaņa,1964
rašojums,1962
govs,1962
ala,1960
mi,1960
pļava,1959
pļauja,1959
aprilis,1955
drupas,1955
ceļļs,1954
dzirdejis,1946
protokols,1943
ļaundaris,1941
valdišana,1940
iekšzeme,1938
mirsnieks,1935
jubileja,1935
celšana,1934
rādijs,1933
sabiedriba,1931
statūts,1931
tumums,1931
rīciba,1931
gājejs,1930
ordenis,1928
ļaunums,1927
Mācitajs,1927
stāstija,1921
ola,1921
smiests,1920
Pestitajs,1914
dziedajs,1914
vējš,1913
cēlonis,1913
vīrietis,1907
mēls,1907
aprindas,1906
slola,1905
vadiba,1902
Ķeisars,1900
pāmests,1899
presidenta,1898
arkls,1893
ieņēmums,1888
tams,1888
sudmalas,1888
siemiete,1886
ganiba,1882
Tērpata,1881
sadursme,1877
mēcums,1874
bedre,1873
stabs,1869
Aleksandrs,1865
putraims,1855
nākotne,1850
siola,1849
māls,1847
sīmeja,1845
lielajs,1843
vēlešana,1841
straume,1840
ziema,1839
assara,1838
veikals,1837
Talsu,1836
līnija,1834
priešs,1833
mēle,1831
lopiņš,1831
rēķins,1830
medus,1828
cilts,1821
augstums,1820
mokas,1819
kristiga,1818
domaja,1815
