NOUN,count
kaušana,207
klasierešana,207
vissada,206
maltite,206
Āsrika,206
bārinis,205
sirsts,204
pieņemšana,204
Lutters,203
komisija,203
atslēga,203
tautietis,202
mērgs,202
precce,202
ugunsgrēks,202
dibens,202
deguns,202
supersossāts,202
brandmīns,202
putniņš,201
mīriešs,201
dzirdeja,201
liecinieks,201
minūte,201
Zerbiešs,201
mucca,200
Pļemna,200
Dāmana,200
baribs,200
ātrums,200
tārps,200
Ciņa,200
puika,200
luga,199
mierigs,199
mūša,199
mabja,199
noticcis,198
kalpošana,198
Jaunjelgama,198
kāsa,198
Bērsmuiža,197
Eņģlandiešs,197
trauks,197
ļaunums,197
laidars,197
stāvejs,196
Daugama,196
spalma,196
kabds,196
apkopšana,196
apģērbs,196
pulkstens,195
napoleons,195
jūlijs,195
Ans,195
vissads,195
luste,195
pienākums,194
ieraudzija,194
dūša,194
pilsētnieks,194
sādša,193
prettinieks,193
sādziba,193
miliona,193
saprašana,192
stiķis,192
kaļķis,192
krodzinieks,192
skobla,192
tikums,192
Āra,192
